Timestamp,Namespace,Pod,CPU(m),RAM(Mi)
2026-02-12 04:56:26,default,op-node-fc4c5d564-dptkw,25,224
2026-02-12 04:56:26,default,op-rbuilder-784769bd78-bd7n,36,145
2026-02-12 04:56:26,default,rollup-boost-cb6c88c87-6qqtb,6,9
2026-02-12 04:56:26,default,validator-5c45f686bc-p6d5w,30,33
2026-02-12 04:56:26,testing,contender-85bb797bc8-x54s5,18,26
2026-02-12 04:56:36,default,beacon-85cbbc7d7b-dr7z,60,214
2026-02-12 04:56:36,default,el-584bddccc7-ljpwp,8,57
2026-02-12 04:56:36,default,op-batcher-7ddcb69467-jprj9,5,24
2026-02-12 04:56:36,default,op-geth-75f4676cdc-n84lh,40,262
2026-02-12 04:56:36,default,op-node-fc4c5d564-dptkw,28,224
2026-02-12 04:56:36,default,op-rbuilder-784769bd78-bd7n,36,144
2026-02-12 04:56:36,default,rollup-boost-cb6c88c87-6qqtb,6,9
2026-02-12 04:56:36,default,validator-5c45f686bc-p6d5w,48,37
2026-02-12 04:56:36,testing,contender-85bb797bc8-x54s5,19,26
2026-02-12 04:56:47,default,beacon-85cbbc7d7b-dr7z,60,214
2026-02-12 04:56:47,default,el-584bddccc7-ljpwp,8,57
2026-02-12 04:56:47,default,op-batcher-7ddcb69467-jprj9,5,24
2026-02-12 04:56:47,default,op-geth-75f4676cdc-n84lh,40,262
2026-02-12 04:56:47,default,op-node-fc4c5d564-dptkw,28,224
2026-02-12 04:56:47,default,op-rbuilder-784769bd78-bd7n,36,144
2026-02-12 04:56:47,default,rollup-boost-cb6c88c87-6qqtb,6,9
2026-02-12 04:56:47,default,validator-5c45f686bc-p6d5w,48,37
2026-02-12 04:56:47,testing,contender-85bb797bc8-x54s5,19,26
2026-02-12 04:56:57,default,beacon-85cbbc7d7b-dr7z,87,214
2026-02-12 04:56:57,default,el-584bddccc7-ljpwp,10,58
2026-02-12 04:56:57,default,op-batcher-7ddcb69467-jprj9,5,24
2026-02-12 04:56:57,default,op-geth-75f4676cdc-n84lh,36,262
2026-02-12 04:56:57,default,op-node-fc4c5d564-dptkw,27,224
2026-02-12 04:56:57,default,op-rbuilder-784769bd78-bd7n,36,145
2026-02-12 04:56:57,default,rollup-boost-cb6c88c87-6qqtb,7,9
2026-02-12 04:56:57,default,validator-5c45f686bc-p6d5w,48,37
2026-02-12 04:56:57,testing,contender-85bb797bc8-x54s5,19,26
2026-02-12 04:57:07,default,beacon-85cbbc7d7b-dr7z,69,213
2026-02-12 04:57:07,default,el-584bddccc7-ljpwp,8,59
2026-02-12 04:57:07,default,op-batcher-7ddcb69467-jprj9,6,24
2026-02-12 04:57:07,default,op-geth-75f4676cdc-n84lh,41,264
2026-02-12 04:57:07,default,op-node-fc4c5d564-dptkw,27,224
2026-02-12 04:57:07,default,op-rbuilder-784769bd78-bd7n,38,139
2026-02-12 04:57:07,default,rollup-boost-cb6c88c87-6qqtb,7,9
2026-02-12 04:57:07,default,validator-5c45f686bc-p6d5w,33,32
2026-02-12 04:57:07,testing,contender-85bb797bc8-x54s5,20,25
2026-02-12 04:57:17,default,beacon-85cbbc7d7b-dr7z,69,213
2026-02-12 04:57:17,default,el-584bddccc7-ljpwp,8,59
2026-02-12 04:57:17,default,op-batcher-7ddcb69467-jprj9,6,24
2026-02-12 04:57:17,default,op-geth-75f4676cdc-n84lh,41,264
2026-02-12 04:57:17,default,op-node-fc4c5d564-dptkw,27,224
2026-02-12 04:57:17,default,op-rbuilder-784769bd78-bd7n,38,139
2026-02-12 04:57:17,default,rollup-boost-cb6c88c87-6qqtb,7,9
2026-02-12 04:57:17,default,validator-5c45f686bc-p6d5w,33,32
2026-02-12 04:57:17,testing,contender-85bb797bc8-x54s5,20,25
2026-02-12 04:57:27,default,beacon-85cbbc7d7b-dr7z,83,214
2026-02-12 04:57:27,default,el-584bddccc7-ljpwp,11,57
2026-02-12 04:57:27,default,op-batcher-7ddcb69467-jprj9,5,24
2026-02-12 04:57:27,default,op-geth-75f4676cdc-n84lh,39,265
2026-02-12 04:57:27,default,op-node-fc4c5d564-dptkw,34,224
2026-02-12 04:57:27,default,op-rbuilder-784769bd78-bd7n,38,139
2026-02-12 04:57:27,default,rollup-boost-cb6c88c87-6qqtb,6,9
2026-02-12 04:57:27,default,validator-5c45f686bc-p6d5w,44,33
2026-02-12 04:57:27,testing,contender-85bb797bc8-x54s5,20,26
2026-02-12 04:57:37,default,beacon-85cbbc7d7b-dr7z,62,214
2026-02-12 04:57:37,default,el-584bddccc7-ljpwp,9,58
2026-02-12 04:57:37,default,op-batcher-7ddcb69467-jprj9,5,24
2026-02-12 04:57:37,default,op-geth-75f4676cdc-n84lh,37,266
2026-02-12 04:57:37,default,op-node-fc4c5d564-dptkw,31,224
2026-02-12 04:57:37,default,op-rbuilder-784769bd78-bd7n,37,140
2026-02-12 04:57:37,default,rollup-boost-cb6c88c87-6qqtb,8,9
2026-02-12 04:57:37,default,validator-5c45f686bc-p6d5w,46,35
2026-02-12 04:57:37,testing,contender-85bb797bc8-x54s5,20,26
2026-02-12 04:57:47,default,beacon-85cbbc7d7b-dr7z,62,214
2026-02-12 04:57:47,default,el-584bddccc7-ljpwp,9,58
2026-02-12 04:57:47,default,op-batcher-7ddcb69467-jprj9,5,24
2026-02-12 04:57:47,default,op-geth-75f4676cdc-n84lh,37,266
2026-02-12 04:57:47,default,op-node-fc4c5d564-dptkw,31,224
2026-02-12 04:57:47,default,op-rbuilder-784769bd78-bd7n,37,140
2026-02-12 04:57:47,default,rollup-boost-cb6c88c87-6qqtb,8,9
2026-02-12 04:57:47,default,validator-5c45f686bc-p6d5w,46,35
2026-02-12 04:57:47,testing,contender-85bb797bc8-x54s5,20,26
2026-02-12 04:57:57,default,beacon-85cbbc7d7b-dr7z,97,214
2026-02-12 04:57:57,default,el-584bddccc7-ljpwp,8,58
2026-02-12 04:57:57,default,op-batcher-7ddcb69467-jprj9,5,24
2026-02-12 04:57:57,default,op-geth-75f4676cdc-n84lh,43,267
2026-02-12 04:57:57,default,op-node-fc4c5d564-dptkw,26,224
2026-02-12 04:57:57,default,op-rbuilder-784769bd78-bd7n,38,144
2026-02-12 04:57:57,default,rollup-boost-cb6c88c87-6qqtb,6,9
2026-02-12 04:57:57,default,validator-5c45f686bc-p6d5w,34,34
2026-02-12 04:57:57,testing,contender-85bb797bc8-x54s5,21,26
2026-02-12 04:58:07,default,beacon-85cbbc7d7b-dr7z,59,214
2026-02-12 04:58:07,default,el-584bddccc7-ljpwp,11,59
2026-02-12 04:58:07,default,op-batcher-7ddcb69467-jprj9,6,24
2026-02-12 04:58:07,default,op-geth-75f4676cdc-n84lh,41,268
2026-02-12 04:58:07,default,op-node-fc4c5d564-dptkw,32,224
2026-02-12 04:58:07,default,op-rbuilder-784769bd78-bd7n,38,143
2026-02-12 04:58:07,default,rollup-boost-cb6c88c87-6qqtb,7,9
2026-02-12 04:58:07,default,validator-5c45f686bc-p6d5w,44,34
2026-02-12 04:58:07,testing,contender-85bb797bc8-x54s5,20,26
2026-02-12 04:58:18,default,beacon-85cbbc7d7b-dr7z,59,214
2026-02-12 04:58:18,default,el-584bddccc7-ljpwp,11,59
2026-02-12 04:58:18,default,op-batcher-7ddcb69467-jprj9,6,24
2026-02-12 04:58:18,default,op-geth-75f4676cdc-n84lh,41,268
2026-02-12 04:58:18,default,op-node-fc4c5d564-dptkw,32,224
2026-02-12 04:58:18,default,op-rbuilder-784769bd78-bd7n,38,143
2026-02-12 04:58:18,default,rollup-boost-cb6c88c87-6qqtb,7,9
2026-02-12 04:58:18,default,validator-5c45f686bc-p6d5w,44,34
2026-02-12 04:58:18,testing,contender-85bb797bc8-x54s5,20,26
2026-02-12 04:58:28,default,beacon-85cbbc7d7b-dr7z,79,213
2026-02-12 04:58:28,default,el-584bddccc7-ljpwp,10,58
2026-02-12 04:58:28,default,op-batcher-7ddcb69467-jprj9,5,24
2026-02-12 04:58:28,default,op-geth-75f4676cdc-n84lh,38,268
2026-02-12 04:58:28,default,op-node-fc4c5d564-dptkw,32,224
2026-02-12 04:58:28,default,op-rbuilder-784769bd78-bd7n,39,143
2026-02-12 04:58:28,default,rollup-boost-cb6c88c87-6qqtb,7,9
2026-02-12 04:58:28,default,validator-5c45f686bc-p6d5w,32,34
2026-02-12 04:58:28,testing,contender-85bb797bc8-x54s5,20,26
2026-02-12 04:58:38,default,beacon-85cbbc7d7b-dr7z,77,213
2026-02-12 04:58:38,default,el-584bddccc7-ljpwp,8,59
2026-02-12 04:58:38,default,op-batcher-7ddcb69467-jprj9,5,24
2026-02-12 04:58:38,default,op-geth-75f4676cdc-n84lh,41,269
2026-02-12 04:58:38,default,op-node-fc4c5d564-dptkw,29,224
2026-02-12 04:58:38,default,op-rbuilder-784769bd78-bd7n,39,143
2026-02-12 04:58:38,default,rollup-boost-cb6c88c87-6qqtb,6,9
2026-02-12 04:58:38,default,validator-5c45f686bc-p6d5w,32,34
2026-02-12 04:58:38,testing,contender-85bb797bc8-x54s5,20,26
